Rank,Model ID,Lab,Downloads,Likes,Pipeline Tag,Created Date,Library,Private,Gated
1,Qwen/Qwen3-0.6B,Qwen,14197109,1176,text-generation,2025-04-27,transformers,False,False
2,Qwen/Qwen3-8B,Qwen,9286171,1028,text-generation,2025-04-27,transformers,False,False
3,Qwen/Qwen3-4B,Qwen,8666826,587,text-generation,2025-04-27,transformers,False,False
4,Qwen/Qwen3-1.7B,Qwen,7688544,439,text-generation,2025-04-27,transformers,False,False
5,Qwen/Qwen3-4B-Instruct-2507,Qwen,6966585,794,text-generation,2025-08-05,transformers,False,False
6,Qwen/Qwen3-Embedding-0.6B,Qwen,5882179,963,feature-extraction,2025-06-03,sentence-transformers,False,False
7,Qwen/Qwen3.5-9B,Qwen,4858521,1193,image-text-to-text,2026-02-27,transformers,False,False
8,Qwen/Qwen3-VL-30B-A3B-Instruct,Qwen,4470097,556,image-text-to-text,2025-09-30,transformers,False,False
9,Qwen/Qwen3-VL-8B-Instruct,Qwen,4285098,852,image-text-to-text,2025-10-11,transformers,False,False
10,Qwen/Qwen3-32B,Qwen,3349845,678,text-generation,2025-04-27,transformers,False,False
11,Qwen/Qwen3.5-35B-A3B,Qwen,3249885,1330,image-text-to-text,2026-02-24,transformers,False,False
12,Qwen/Qwen3.5-27B,Qwen,3070552,872,image-text-to-text,2026-02-24,transformers,False,False
13,Qwen/Qwen3.5-4B,Qwen,2776033,438,image-text-to-text,2026-02-27,transformers,False,False
14,Qwen/Qwen3-14B,Qwen,2558131,382,text-generation,2025-04-27,transformers,False,False
15,Qwen/Qwen3-VL-4B-Instruct,Qwen,2165301,365,image-text-to-text,2025-10-11,transformers,False,False
16,meta-llama/Llama-Guard-4-12B,meta-llama,79628,89,image-text-to-text,2025-04-23,transformers,False,False
17,meta-llama/Llama-Prompt-Guard-2-86M,meta-llama,58581,98,text-classification,2025-04-28,transformers,False,False
18,meta-llama/Llama-Prompt-Guard-2-22M,meta-llama,25973,35,text-classification,2025-04-28,transformers,False,False
19,mistralai/Voxtral-Mini-4B-Realtime-2602,mistralai,892475,795,automatic-speech-recognition,2026-01-21,vllm,False,False
20,mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai,751045,577,,2025-06-19,vllm,False,False
21,mistralai/Voxtral-Mini-3B-2507,mistralai,538607,636,,2025-07-01,mistral-common,False,False
22,mistralai/Ministral-3-14B-Instruct-2512,mistralai,336538,271,,2025-10-31,vllm,False,False
23,mistralai/Ministral-3-8B-Instruct-2512,mistralai,235673,161,,2025-10-31,vllm,False,False
24,mistralai/Devstral-Small-2-24B-Instruct-2512,mistralai,141870,576,,2025-11-28,vllm,False,False
25,mistralai/Ministral-3-3B-Instruct-2512,mistralai,117397,216,,2025-10-31,vllm,False,False
26,mistralai/Devstral-2-123B-Instruct-2512,mistralai,113116,312,,2025-11-28,vllm,False,False
27,mistralai/Devstral-Small-2505,mistralai,96540,866,,2025-05-12,vllm,False,False
28,mistralai/Mistral-Small-4-119B-2603,mistralai,70264,345,,2026-01-23,,False,False
29,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistralai,56733,25,,2025-10-31,vllm,False,False
30,mistralai/Magistral-Small-2506,mistralai,41760,609,,2025-06-04,vllm,False,False
31,mistralai/Devstral-Small-2507,mistralai,40343,363,,2025-07-04,mistral-common,False,False
32,mistralai/Voxtral-Small-24B-2507,mistralai,28454,475,audio-text-to-text,2025-07-01,vllm,False,False
33,mistralai/Ministral-3-3B-Base-2512,mistralai,24234,62,,2025-10-31,vllm,False,False
34,google/embeddinggemma-300m,google,1088384,1577,sentence-similarity,2025-07-17,sentence-transformers,False,False
35,google/gemma-4-31B-it,google,678740,1140,image-text-to-text,2026-03-11,transformers,False,False
36,google/gemma-4-26B-A4B-it,google,476612,451,image-text-to-text,2026-03-11,transformers,False,False
37,google/t5gemma-s-s-prefixlm,google,383878,3,text-generation,2025-06-19,transformers,False,False
38,microsoft/Phi-tiny-MoE-instruct,microsoft,606924,35,text-generation,2025-06-23,transformers,False,False
39,microsoft/VibeVoice-ASR,microsoft,570630,1000,automatic-speech-recognition,2026-01-21,transformers,False,False
40,microsoft/VibeVoice-Realtime-0.5B,microsoft,569587,1176,text-to-speech,2025-12-04,transformers,False,False
41,tencent/HunyuanOCR,tencent,207254,561,image-text-to-text,2025-11-18,transformers,False,False
42,tencent/HunyuanImage-3.0,tencent,101783,660,text-to-image,2025-09-25,transformers,False,False
43,tencent/KaLM-Embedding-Gemma3-12B-2511,tencent,95531,88,sentence-similarity,2025-11-04,sentence-transformers,False,False
44,tencent/Hunyuan3D-2.1,tencent,31277,885,image-to-3d,2025-06-13,hunyuan3d-2,False,False
45,tencent/Hunyuan-A13B-Instruct,tencent,17795,616,text-generation,2025-06-25,transformers,False,False
46,tencent/HY-MT1.5-1.8B,tencent,13348,592,translation,2025-12-25,transformers,False,False
47,tencent/Hunyuan-7B-Instruct,tencent,10345,87,text-generation,2025-07-30,transformers,False,False
48,tencent/Penguin-VL-8B,tencent,8510,74,text-generation,2026-03-05,transformers,False,False
49,tencent/Penguin-Encoder,tencent,7918,21,feature-extraction,2026-03-05,transformers,False,False
